[4/100][800/1000] Loss_D:1.0995 | Loss_G:4.3173
[4/100][850/1000] Loss_D:0.6608 | Loss_G:2.2445
[4/100][900/1000] Loss_D:1.1888 | Loss_G:3.3525
[4/100][950/1000] Loss_D:0.6546 | Loss_G:2.5386
[5/100][0/1000] Loss_D:0.5425 | Loss_G:2.8140
[5/100][50/1000] Loss_D:0.7868 | Loss_G:3.2336
[5/100][100/1000] Loss_D:0.6860 | Loss_G:2.2301
[5/100][150/1000] Loss_D:0.9308 | Loss_G:2.5476
[5/100][200/1000] Loss_D:1.0412 | Loss_G:0.9350
[5/100][250/1000] Loss_D:1.1678 | Loss_G:3.9905
[5/100][300/1000] Loss_D:0.6506 | Loss_G:1.6042
[5/100][350/1000] Loss_D:0.4737 | Loss_G:1.9995
[5/100][400/1000] Loss_D:0.6868 | Loss_G:1.9280
[5/100][450/1000] Loss_D:0.8678 | Loss_G:2.6031
[5/100][500/1000] Loss_D:0.7676 | Loss_G:2.2039
[5/100][550/1000] Loss_D:0.7431 | Loss_G:1.7161
[5/100][600/1000] Loss_D:0.6813 | Loss_G:1.7773
[5/100][650/1000] Loss_D:1.0326 | Loss_G:0.9430
[5/100][700/1000] Loss_D:0.9976 | Loss_G:2.7432
[5/100][750/1000] Loss_D:0.3372 | Loss_G:2.8679
[5/100][800/1000] Loss_D:0.6843 | Loss_G:1.9373
[5/100][850/1000] Loss_D:0.8147 | Loss_G:3.5033
[5/100][900/1000] Loss_D:1.0917 | Loss_G:2.1600
[5/100][950/1000] Loss_D:0.8378 | Loss_G:1.9046
[6/100][0/1000] Loss_D:0.9027 | Loss_G:0.9249
[6/100][50/1000] Loss_D:0.4823 | Loss_G:2.5697
[6/100][100/1000] Loss_D:0.5374 | Loss_G:1.2114
[6/100][150/1000] Loss_D:0.9084 | Loss_G:2.6589
[6/100][200/1000] Loss_D:0.9364 | Loss_G:3.6648
[6/100][250/1000] Loss_D:1.0498 | Loss_G:4.0217
[6/100][300/1000] Loss_D:1.2357 | Loss_G:3.9007
[6/100][350/1000] Loss_D:0.5695 | Loss_G:2.0485
[6/100][400/1000] Loss_D:0.6927 | Loss_G:1.9801
[6/100][450/1000] Loss_D:0.8567 | Loss_G:2.1142
[6/100][500/1000] Loss_D:0.9615 | Loss_G:1.4793
[6/100][550/1000] Loss_D:1.2244 | Loss_G:0.9363
[6/100][600/1000] Loss_D:0.5362 | Loss_G:2.6483
[6/100][650/1000] Loss_D:0.9027 | Loss_G:1.5065
[6/100][700/1000] Loss_D:0.6129 | Loss_G:2.1859
[6/100][750/1000] Loss_D:0.5641 | Loss_G:2.4551
[6/100][800/1000] Loss_D:0.6465 | Loss_G:3.3246
[6/100][850/1000] Loss_D:0.9875 | Loss_G:4.0402
[6/100][900/1000] Loss_D:1.2466 | Loss_G:4.7532
[6/100][950/1000] Loss_D:0.5553 | Loss_G:2.2849
[7/100][0/1000] Loss_D:1.0307 | Loss_G:1.2079
[7/100][50/1000] Loss_D:0.6409 | Loss_G:2.5903
[7/100][100/1000] Loss_D:0.8126 | Loss_G:3.8076
[7/100][150/1000] Loss_D:0.5864 | Loss_G:2.7157
[7/100][200/1000] Loss_D:0.5128 | Loss_G:2.4171
[7/100][250/1000] Loss_D:0.8188 | Loss_G:1.6859
[7/100][300/1000] Loss_D:0.5682 | Loss_G:2.4040
[7/100][350/1000] Loss_D:0.8292 | Loss_G:1.5765
[7/100][400/1000] Loss_D:0.4591 | Loss_G:2.3811
[7/100][450/1000] Loss_D:0.5782 | Loss_G:3.1056
[7/100][500/1000] Loss_D:2.1771 | Loss_G:5.3755
[7/100][550/1000] Loss_D:0.7247 | Loss_G:1.9776
[7/100][600/1000] Loss_D:0.5537 | Loss_G:2.1070
[7/100][650/1000] Loss_D:0.9403 | Loss_G:1.3035
[7/100][700/1000] Loss_D:0.7350 | Loss_G:1.4910
[7/100][750/1000] Loss_D:1.5804 | Loss_G:5.4706
[7/100][800/1000] Loss_D:0.4915 | Loss_G:2.6726
[7/100][850/1000] Loss_D:0.8492 | Loss_G:4.1523
[7/100][900/1000] Loss_D:0.7478 | Loss_G:3.0872
[7/100][950/1000] Loss_D:0.9547 | Loss_G:3.4191
